# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  OR          09        8    yes       -         r/m32     reg32     -
  OR          0A        8    yes       -         reg8      r/m8      -
  OR          0B        8    yes       -         reg32     r/m32     -
  OUT         E6        8    -         -         imm8      AL        -
  OUT         E7        8    -         -         imm8      EAX       -
  OUT         EE        8    -         -         DX        AL        -
  OUT         EF        8    -         -         DX        EAX       -
  OUTS        6E        8    -         -         DX        m8        -
  OUTS        6F        8    -         -         DX        m32       -
  PACKSSWB    0F63     16    yes       -         mm        mm/m64    -
  PACKSSDW    0F6B     16    yes       -         mm        mm/m64    -
  PACKUSWB    0F67     16    yes       -         mm        mm/m64    -
  PADDB       0FFC     16    yes       -         mm        mm/m64    -
  PADDW       0FFD     16    yes       -         mm        mm/m64    -
  PADDD       0FFE     16    yes       -         mm        mm/m64    -
  PADDSB      0FEC     16    yes       -         mm        mm/m64    -
  PADDSW      0FED     16    yes       -         mm        mm/m64    -
  PADDUSB     0FDC     16    yes       -         mm        mm/m64    -
  PADDUSW     0FDD     16    yes       -         mm        mm/m64    -
  PAND        0FDB     16    yes       -         mm        mm/m64    -
  PANDN       0FDF     16    yes       -         mm        mm/m64    -
  PCMPEQB     0F74     16    yes       -         mm        mm/m64    -
  PCMPEQW     0F75     16    yes       -         mm        mm/m64    -
  PCMPEQD     0F76     16    yes       -         mm        mm/m64    -
  PCMPGTB     0F64     16    yes       -         mm        mm/m64    -
  PCMPGTW     0F65     16    yes       -         mm        mm/m64    -
  PCMPGTD     0F66     16    yes       -         mm        mm/m64    -
  PMADDWD     0FF5     16    yes       -         mm        mm/m64    -
  PMULHW      0FE5     16    yes       -         mm        mm/m64    -
  PMULLW      0FD5     16    yes       -         mm        mm/m64    -
  POP         8F        8    yes       0         m32       -         -
  POP         58        5    yes       -         reg32     -         -
  POP         1F        8    -         -         DS        -         -
  POP         07        8    -         -         ES        -         -
  POP         17        8    -         -         SS        -         -
  POP         0FA1      8    -         -         FS        -         -
  POP         0FA9      8    -         -         GS        -         -
  POPAD       61        8    -         -         -         -         -
  POPFD       9D        8    -         -         -         -         -
  POR         0FEB     16    yes       -         mm        mm/m64    -
  PSLLW       0FF1     16    yes       -         mm        mm/m64    -
  PSLLW       0F61     16    yes       6         mm        imm8      -
  PSLLD       0FF2     16    yes       -         mm        mm/m64    -
  PSLLD       0F72     16    yes       6         mm        imm8      -
  PSLLQ       0FF3     16    yes       -         mm        mm/m64    -
  PSLLQ       0F73     16    yes       6         mm        imm8      -
  PSRAW       0FE1     16    yes       -         mm        mm/m64    -
  PSRAW       0F71     16    yes       4         mm        imm8      -
  PSRAD       0FE2     16    yes       -         mm        mm/m64    -
  PSRAD       0F72     16    yes       4         mm        imm8      -
  PSRLW       0FD1     16    yes       -         mm        mm/m64    -
  PSRLW       0F71     16    yes       2         mm        imm8      -
  PSRLD       0FD2     16    yes       -         mm        mm/m64    -
  PSRLD       0F72     16    yes       2         mm        imm8      -
  PSRLQ       0FD3     16    yes       -         mm        mm/m64    -
  PSRLQ       0F73     16    yes       2         mm        imm8      -
  PSUBB       0FF8     16    yes       -         mm        mm/m64    -
  PSUBW       0FF9     16    yes       -         mm        mm/m64    -
